100 156.240000 10.140000 0.000000 15.070000 10.000000 15.000000
1100 161.360000 20.130000 317.520000 161.280000 171.310000 161.250000
2100 352.810000 503.870000 660.260000 508.910000 655.210000 645.020000
3100 1345.380000 1372.230000 529.340000 1784.450000 1809.310000 1663.420000
4100 2042.220000 3011.060000 2258.120000 1834.790000 3049.390000 3009.820000
5100 2408.350000 3508.440000 2514.550000 3750.520000 2924.190000 3845.910000
6100 3672.040000 2209.200000 2437.430000 1150.910000 3290.160000 3410.870000
7100 2541.000000 2822.270000 2464.540000 1997.550000 1723.420000 1834.290000
8100 4608.190000 5795.620000 2940.890000 4819.610000 3872.230000 6389.150000
9100 4763.380000 5057.390000 4299.160000 4243.170000 6471.540000 5201.100000
